step,target,norad_id,total_dv_ms,drift_time_days,cumulative_spent_ms
1,DMSP 5D-2 F11 DEB,28331,13.732,5.00,13.732
2,NOAA 17 DEB,48766,15.996,35.52,29.728
3,CZ-4 DEB,26194,23.490,15.17,53.218
4,PSLV DEB,27123,16.878,15.17,70.096
5,THORAD AGENA D DEB,4653,11.000,25.34,81.096
6,FENGYUN 1C DEB,30628,4.114,45.69,85.210
7,DELTA 1 DEB,7892,33.246,15.17,118.456
8,NOAA 17 DEB,48729,25.437,5.00,143.893
9,FENGYUN 1C DEB,31631,23.358,25.34,167.251
10,FENGYUN 1C DEB,30106,18.394,25.34,185.645
11,NOAA 16 DEB,41372,14.621,25.34,200.266
12,FENGYUN 1C DEB,30141,55.261,15.17,255.527
13,NOAA 16 DEB,42371,12.820,55.86,268.347
14,FENGYUN 1C DEB,31376,48.654,15.17,317.000
15,FENGYUN 1C DEB,30838,22.700,15.17,339.701
16,DELTA 1 DEB,19105,3.982,76.21,343.682
17,FENGYUN 1C DEB,31202,9.799,76.21,353.482
18,DELTA 1 DEB,42558,34.494,45.69,387.976
19,DELTA 1 DEB,18475,52.710,66.03,440.687
